Z,r (after rho subtraction),dr (after rho subtraction),r (before rho subtraction),dr (before rho subtraction)
0.342,0.462,0.071,0.462,0.071
0.370,0.4196,0.0475,0.4449,0.0465
0.398,0.4838,0.0453,0.5126,0.0438
0.426,0.4764,0.0429,0.5087,0.0411
0.454,0.4575,0.0414,0.4940,0.0392
0.482,0.4425,0.0413,0.4837,0.0395
0.510,0.4059,0.0318,0.4530,0.0306
0.538,0.3635,0.0270,0.4134,0.0257
0.566,0.3699,0.0266,0.4288,0.0253
0.594,0.3638,0.0274,0.4280,0.0267
0.622,0.3448,0.0298,0.4124,0.0284
0.650,0.3157,0.0289,0.3853,0.0279
0.678,0.3587,0.0314,0.4376,0.0307
0.706,0.3934,0.0327,0.4800,0.0319
0.734,0.3137,0.0273,0.3889,0.0264
0.762,0.3164,0.0254,0.3911,0.0254
0.790,0.2738,0.0223,0.3375,0.0223
0.818,0.2625,0.0198,0.3177,0.0198
0.846,0.2380,0.0177,0.2808,0.0168
0.874,0.2294,0.0161,0.2607,0.0159
0.902,0.2423,0.0243,0.2555,0.0238
0.930,0.3025,0.0739,0.2944,0.0724
