Run	N+	N-
11362	77498	45061
11363	79358	45434
11364	79549	45939
11365	79487	45541
11366	76682	43724
11367	45958	26168
11368	85884	49689
11370	78518	45553
11373	82291	47312
11374	75963	43433
11375	80459	46233
11376	80469	46341
11378	48105	27281
11379	37149	21491
11381	66444	37915
11383	36780	21187
11386	84905	48887
11387	37487	21716
11389	80029	45746
11390	38662	22177
11395	72305	40957
11396	67441	38229
11397	15465	8953
11398	70359	40215
11399	26516	14928
11400	36584	21155
11401	71728	40947
11402	74739	42775
11403	56214	32143
11404	58404	33105
11412	64130	36841
11413	33955	19636
11414	62895	36046
11415	64267	36955
11416	64563	37102
11417	64338	36621
11418	17143	9849
11419	7552	4235
11420	60268	34401
11422	69537	39496
11423	52999	30083
11429	26898	15394
11430	68704	39173
11432	68418	39021
11433	68008	38525
11434	52505	29878
11435	71660	41001
11436	54455	31041
11437	72949	41709
11438	68618	38989
11439	30380	17435
11440	72555	41539
11441	34875	19619
11442	68716	39728
11443	13393	7557
11444	68412	39424
11446	85629	49406
11447	21824	12328
11449	72188	41032
11450	73217	42002
11451	2076	1213
11458	69326	40216
11460	71873	41168
11462	53444	30844
11463	18342	10417
11465	45866	26343
11466	72213	41322
11467	69477	39791
11468	15753	9104
11469	11126	6265
11470	70728	40745
11471	75432	43037
11472	70893	41336
11473	73223	41932
11474	71255	40561
11475	71342	40558
11476	71444	40805
11477	74725	42439
11479	33889	19674
11480	71562	41058
11481	76509	43931
11483	45701	26201
11484	26965	15504
11490	72219	41396
11491	12095	7057
11492	75079	43067
11493	71526	41052
11494	72215	41603
11495	72709	41776
11496	13128	7428
11497	33296	19110
11498	23099	13093
11499	53632	31037
11501	4819	2737
11502	66173	37982
11504	66870	38025
11505	72596	41564
11506	67646	38517
11507	2984	1702
11509	26667	15285
11510	77313	44053
11511	60642	34586
11512	68296	39106
11513	67132	38535
11514	66742	38313
11515	68250	38717
11516	70900	39911
11517	75479	42842
11518	69801	39928
11519	32303	18478
11521	14271	8153
11522	68180	38780
11524	79337	45639
11525	47332	26617
11528	67905	38833
11529	58656	33502
11530	68992	39597
11531	71143	40517
11532	4529	2520
11533	50342	29187
11534	72503	41640
11535	12781	7419
11536	66320	38113
11539	48998	27885
11540	36306	20872
11541	12931	7246
11544	64796	37381
11545	67960	39348
11546	65364	37339
11550	12915	7323
11554	65682	37839
11556	57191	32953
11557	70585	40486
11560	45237	25998
11561	59753	34293
11562	65769	37651
11563	75582	43380
11564	66649	38487
11565	67781	38714
11566	68404	39055
11567	67874	38626
11568	66505	38081
11569	65757	37711
11570	67656	38566
11571	49643	28694
