Run	Charge
0	495296
0	470705
0	408736
0	526113
0	105055
0	426187
0	523856
0	600912
6437	207869
0	555620
0	101778
0	520765
0	506293
0	539504
6451	521467
0	562671
0	522578
0	178412
0	553700
6456	527557
0	208011
0	494780
0	542215
0	468215
0	249165
0	567241
0	542404
0	529430
0	163646
0	289865
0	580274
6473	147447
0	588551
0	574680
0	374049
0	591855
0	569693
0	577339
0	406852
0	560589
0	274937
0	597109
0	596318
0	534213
0	560850
0	502874
0	491019
0	594766
0	202569
0	397237
0	482636
0	602558
0	559429
0	543705
0	538925
0	568328
6525	459707
0	337953
0	362373
0	336854
0	332189
0	334495
0	337394
6559	332813
0	226476
0	135086
0	334791
0	335686
0	334887
0	336086
0	338997
0	346136
0	336902
0	335476
0	340143
0	241515
0	135213
0	336451
0	337324
0	225704
0	56475.5
0	348028
0	341564
0	337255
0	352828
0	102238
0	3.49779e+07
