Run	Charge
0	95014.8
1	108389
2	166236
3	100920
4	14529.3
5	160469
6	55534
7	173330
8	164186
9	80692.5
10	163787
11	160612
12	159810
13	166530
14	317442
15	327065
16	160540
17	174406
18	319860
19	319625
20	320854
21	296473
22	321113
23	100311
24	95984.1
25	315372
26	320329
27	320307
28	22823.1
29	160073
30	162421
31	152533
32	161369
33	94171.1
34	49742
35	115974
36	163895
37	63545.5
38	75768.6
39	52865.2
40	163974
41	166192
42	11304.2
43	144425
44	15676
45	161689
46	209043
47	228196
48	202429
49	161432
50	163288
51	165503
52	160442
53	135822
54	116842
55	319643
56	169699
57	63770.8
58	156900
59	165036
60	160525
61	57254.9
62	164168
63	32994.5
64	160540
65	161704
66	30609.3
67	158550
68	23910.9
69	154912
70	158859
71	149115
72	158272
73	17268.7
74	135007
75	18727.6
76	187585
77	11956.6
0	1.17782e+07
